id,type,source,target
905981,/,210693,210703
905982,\,210704,210693
905983,/,210693,210704
905984,\,210718,210693
905985,/,210693,210718
905986,\,210709,210693
905987,/,210693,210709
905988,\,210710,210693
905989,/,210693,210710
905990,\,210694,210693
905991,/,210693,210694
905992,\,210707,210693
905993,/,210693,210707
905994,\,210708,210693
905995,/,210693,210708
905996,\,210719,210693
905997,/,210693,210719
905998,\,455946,210693
905999,/,210693,455946
906000,\,210720,210693
906001,/,210693,210720
906002,\,210721,210693
906003,/,210693,210721
906004,\,210722,210693
906005,/,210693,210722
906006,\,210717,210693
906007,/,210693,210717
906008,\,210715,210693
906009,/,210693,210715
906010,\,455945,210693
906011,/,210693,455945
906012,\,455944,210693
906013,/,210693,455944
906014,\,210716,210693
906015,/,210693,210716
906016,\,210713,210693
906017,/,210693,210713
906018,\,210714,210693
906019,/,210693,210714
906020,\,210729,210693
906021,/,210693,210729
906022,\,210731,210693
906023,/,210693,210731
906024,\,210730,210693
906025,/,210693,210730
906026,\,210723,210693
906027,/,210693,210723
906028,\,210705,210693
906029,/,210693,210705
906030,\,210727,210693
906031,/,210693,210727
906032,\,210724,210693
906033,/,210693,210724
906034,\,210725,210724
906035,/,210724,210725
906036,\,210861,210859
906037,/,210859,210861
906038,\,210863,210859
906039,/,210859,210863
906040,\,210864,210859
906041,/,210859,210864
906042,\,210806,210792
906043,/,210792,210806
906044,\,210807,210792
906045,/,210792,210807
906046,\,210802,210792
906047,/,210792,210802
906048,\,210803,210792
906049,/,210792,210803
906050,\,210804,210792
906051,/,210792,210804
906052,\,210828,210792
906053,/,210792,210828
906054,\,210811,210792
906055,/,210792,210811
906056,\,210812,210792
906057,/,210792,210812
906058,\,210813,210792
906059,/,210792,210813
906060,\,210815,210792
906061,/,210792,210815
906062,\,210814,210792
906063,/,210792,210814
906064,\,210816,210792
906065,/,210792,210816
906066,\,210797,210792
906067,/,210792,210797
906068,\,210801,210792
906069,/,210792,210801
906070,\,210798,210792
906071,/,210792,210798
906072,\,210800,210792
906073,/,210792,210800
906074,\,210810,210792
906075,/,210792,210810
906076,\,210808,210792
906077,/,210792,210808
906078,\,210809,210792
906079,/,210792,210809
906080,\,210830,210792
906081,/,210792,210830
906082,\,210818,210792
906083,/,210792,210818
906084,\,210817,210792
906085,/,210792,210817
906086,\,210851,210792
906087,/,210792,210851
906088,\,210852,210792
906089,/,210792,210852
906090,\,210602,210792
906091,/,210792,210602
906092,\,210617,210792
906093,/,210792,210617
906094,\,210664,210792
906095,/,210792,210664
906096,\,210670,210792
906097,/,210792,210670
906098,\,210668,210792
906099,/,210792,210668
906100,\,210660,210792
906101,/,210792,210660
906102,\,210663,210792
906103,/,210792,210663
906104,\,455942,210792
906105,/,210792,455942
906106,\,210805,210792
906107,/,210792,210805
906108,\,210873,210792
906109,/,210792,210873
906110,\,210832,210833
906111,/,210833,210832
906112,\,210821,210819
906113,/,210819,210821
906114,\,210820,210821
906115,/,210821,210820
906118,\,210829,210819
906119,/,210819,210829
906120,\,210827,210819
906121,/,210819,210827
906122,\,210825,210819
906123,/,210819,210825
906124,\,210826,210825
906125,/,210825,210826
906126,\,210850,210849
906127,/,210849,210850
906128,\,455950,210849
906129,/,210849,455950
906130,\,210847,210846
906131,/,210846,210847
906132,\,210841,210846
906133,/,210846,210841
906134,\,210788,210786
906135,/,210786,210788
906136,\,210789,210786
906137,/,210786,210789
906138,\,210790,210786
906139,/,210786,210790
906140,\,210638,210786
906141,/,210786,210638
906142,\,210837,210836
906143,/,210836,210837
906144,\,210838,210837
906145,/,210837,210838
906146,\,210840,210837
906147,/,210837,210840
906148,\,210839,210836
906149,/,210836,210839
906150,\,210885,210877
906151,/,210877,210885
906152,\,210878,210877
906153,/,210877,210878
906154,\,210881,210877
906155,/,210877,210881
906156,\,210879,210877
906157,/,210877,210879
906158,\,210880,210877
906159,/,210877,210880
906160,\,210882,210877
906161,/,210877,210882
906162,\,210883,210877
906163,/,210877,210883
906164,\,210884,210877
906165,/,210877,210884
906166,\,210363,210361
906167,/,210361,210363
906168,\,210364,210361
906169,/,210361,210364
906170,\,210369,210361
906171,/,210361,210369
906172,\,210365,210361
906173,/,210361,210365
906174,\,210366,210365
906175,/,210365,210366
906176,\,210367,210361
906177,/,210361,210367
906178,\,210368,210361
906179,/,210361,210368
906180,\,210358,210357
906181,/,210357,210358
906182,\,210376,210375
906183,/,210375,210376
906184,\,210378,210377
906185,/,210377,210378
906186,\,210379,210377
906187,/,210377,210379
906188,\,210380,210377
906189,/,210377,210380
906190,\,210373,210372
906191,/,210372,210373
906192,\,455936,210382
906193,/,210382,455936
906194,\,210384,210383
906195,/,210383,210384
906196,\,210385,210383
906197,/,210383,210385
906198,\,208748,208745
906199,/,208745,208748
906200,\,208761,208749
906201,/,208749,208761
906202,\,209405,208749
906203,/,208749,209405
906204,\,209407,208749
906205,/,208749,209407
906206,\,208807,208749
906207,/,208749,208807
906208,\,208752,208749
906209,/,208749,208752
906210,\,208751,208752
906211,/,208752,208751
906212,\,208811,208809
906213,/,208809,208811
906214,\,208810,208809
906215,/,208809,208810
906216,\,208805,208798
906217,/,208798,208805
906218,\,208800,208798
906219,/,208798,208800
906220,\,208799,208800
906221,/,208800,208799
906224,\,208802,208798
906225,/,208798,208802
906226,\,208803,208798
906227,/,208798,208803
906228,\,208806,208798
906229,/,208798,208806
906230,\,208804,208798
906231,/,208798,208804
906232,\,208757,208753
906233,/,208753,208757
906234,\,208756,208753
906235,/,208753,208756
906238,\,208774,208773
906239,/,208773,208774
906240,\,208775,208773
906241,/,208773,208775
906242,\,208776,208773
906243,/,208773,208776
906244,\,208766,208763
906245,/,208763,208766
906246,\,208767,208763
906247,/,208763,208767
906248,\,208768,208763
906249,/,208763,208768
906250,\,208769,208763
906251,/,208763,208769
906252,\,208770,208763
906253,/,208763,208770
906254,\,208771,208763
906255,/,208763,208771
906256,\,208772,208763
906257,/,208763,208772
906258,\,208781,208780
906259,/,208780,208781
906260,\,208786,208785
906261,/,208785,208786
906262,\,208796,208785
906263,/,208785,208796
906264,\,208787,208785
906265,/,208785,208787
906266,\,208789,208785
906267,/,208785,208789
906268,\,208790,208785
906269,/,208785,208790
906270,\,208788,208785
906271,/,208785,208788
906272,\,208791,208785
906273,/,208785,208791
906274,\,208793,208785
906275,/,208785,208793
906276,\,208792,208785
906277,/,208785,208792
906278,\,208794,208785
906279,/,208785,208794
906280,\,209392,209390
906281,/,209390,209392
906282,\,209394,209390
906283,/,209390,209394
906284,\,209395,209390
906285,/,209390,209395
906286,\,209398,209397
906287,/,209397,209398
906288,\,209401,209397
906289,/,209397,209401
906290,\,209400,209397
906291,/,209397,209400
906292,\,209399,209397
906293,/,209397,209399
906294,\,209404,209397
906295,/,209397,209404
906296,\,209402,209397
906297,/,209397,209402
906298,\,209403,209402
906299,/,209402,209403
906300,\,209202,209375
906301,/,209375,209202
