03,शारिकानाथ,n,n-----m--a,,,,/ɕɑː.ɹi.kɑː.nɑː.t̪ʰə/,शारिका-नाथ,0
427369,131282,शारीरोपनिषद्,n,n-----f--c,,,,/ɕɑː.ɹiː.ɹoː.pə.ni.ʂəd̪/,शारीरोपनिषद्,0
427370,131278,शारीटक,n,n-----m--a,,,,/ɕɑː.ɹiː.ʈə.kə/,शारीटक,0
427371,132394,शार्ङ्ग,a,ap----a--a,,ap----f--ī=>ी,,/ɕɑːɹŋ.gə/,शार्ङ्ग,0
427373,132395,शार्ङ्ग,n,n-----m--a,,,,/ɕɑːɹŋ.gə/,शार्ङ्ग,0
427374,132397,शार्ङ्ग,n,n-----n--a,,,,/ɕɑːɹŋ.gə/,शार्ङ्ग,0
427377,131308,शार्ङ्गभृत्,n,n-----m--c,,,,/ɕɑːɹŋ.gə.bʱɹ̩t̪/,शार्ङ्ग-भृत्,0
427378,131303,शार्ङ्गदत्त,n,n-----m--a,,,,/ɕɑːɹŋ.gə.ˈd̪ət̪.t̪ə/,शार्ङ्ग-दत्त,0
427379,131304,शार्ङ्गदेव,n,n-----m--a,,,,/ɕɑːɹŋ.gə.d̪eː.ʋə/,शार्ङ्ग-देव,0
427380,,शार्ङ्गधनुर्धर,n,n-----m--a,,,,/ɕɑːɹŋ.gə.d̪ʰə.ˈnuɹ.d̪ʰə.ɹə/,शार्ङ्ग-धनुर्धर,0
427381,132398,शार्ङ्गधनुस्,n,n-----m-su,,,,/ɕɑːɹŋ.gə.d̪ʰə.nus/,शार्ङ्ग-धनुस्,0
427382,,शार्ङ्गधन्वन्,n,n-----m--n,,,,/ɕɑːɹŋ.gə.d̪ʰən.ʋən/,शार्ङ्ग-धन्वन्,0
427383,,शार्ङ्गधन्विन्,n,n-----m--n,,,,/ɕɑːɹŋ.gə.d̪ʰən.ʋin/,शार्ङ्ग-धन्विन्,0
427384,132400,शार्ङ्गधर,n,n-----m--a,,,,/ɕɑːɹŋ.gə.d̪ʰə.ɹə/,शार्ङ्ग-धर,0
427385,,शार्ङ्गधरपद्धति,n,n-----f--i,,,,/ɕɑːɹŋ.gə.d̪ʰə.ɹə.ˈpəd̪.d̪ʰə.t̪i/,शार्ङ्ग-धर-पद्धति,0
427386,,शार्ङ्गधरसंहिता,n,n-----f--ā,,,,/ɕɑːɹŋ.gə.d̪ʰə.ɹə.ˈsə̃.ɦi.t̪ɑː/,शार्ङ्ग-धर-संहिता,0
427387,,शार्ङ्गधरव्रज्या,n,n-----f--ā,,,,/ɕɑːɹŋ.gə.d̪ʰə.ˈɹəʋ.ˈɹəd͡ʑ.jɑː/,शार्ङ्ग-धर-व्रज्या,0
427388,,शार्ङ्गधरीय,n,n-----n--a,,,,/ɕɑːɹŋ.gə.d̪ʰə.ɹiː.jə/,शार्ङ्ग-धरीय,0
427389,131302,शार्ङ्गजग्ध,a,ap----a--a,,ap----f--ī=>ी,,/ɕɑːɹŋ.gə.ˈd͡ʑəg.d̪ʰə/,शार्ङ्ग-जग्ध,0
427390,132402,शार्ङ्गक,n,n-----m--a,,,,/ɕɑːɹŋ.gə.kə/,शार्ङ्गक,0
427391,131307,शार्ङ्गपक्षिन्,n,n-----m--n,,,,/ɕɑːɹŋ.gə.ˈpək.ʂin/,शार्ङ्ग-पक्षिन्,0
427392,132401,शार्ङ्गपाणि,n,n-----m--i,,,,/ɕɑːɹŋ.gə.pɑː.ɳi/,शार्ङ्ग-पाणि,0
427393,,शार्ङ्गपाणिस्तोत्र,n,n-----n--a,,,,/ɕɑːɹŋ.gə.pɑː.ˈɳis.t̪oːt̪.ɹə/,शार्ङ्ग-पाणि-स्तोत्र,0
427394,132404,शार्ङ्गरव,n,n-----m--a,,,,/ɕɑːɹŋ.gə.ɹə.ʋə/,शार्ङ्गरव,0
427395,132405,शार्ङ्गरवी,n,n-----f--ī,,,,/ɕɑːɹŋ.gə.ɹə.ʋiː/,शार्ङ्गरवी,0
427396,131310,शार्ङ्गवत,n,n-----n--a,,,,/ɕɑːɹŋ.gə.ʋə.t̪ə/,शार्ङ्गवत,0
427397,131314,शार्ङ्गष्टा,n,n-----f--ā,,,,/ɕɑːɹŋ.ˈgəʂ.ʈɑː/,शार्ङ्गष्टा,0
427398,131311,शार्ङ्गिदेव,n,n-----m--a,,,,/ɕɑːɹŋ.gi.d̪eː.ʋə/,शार्ङ्गि-देव,0
427399,,शार्ङ्गिक,n,n-----m--a,,,,/ɕɑːɹŋ.gi.kə/,शार्ङ्गिक,0
427400,132403,शार्ङ्गिका,n,n-----f--ā,,,,/ɕɑːɹŋ.gi.kɑː/,शार्ङ्गिका,0
427401,131313,शार्ङ्गिन्,n,n-----m--n,,,,/ɕɑːɹŋ.gin/,शार्ङ्गिन्,0
427402,131309,शार्ङ्गायुध,n,n-----m--a,,,,/ɕɑːɹŋ.gɑː.ju.d̪ʰə/,शार्ङ्गायुध,0
427403,132396,शार्ङ्गी,n,n-----f--ī,,,,/ɕɑːɹŋ.giː/,शार्ङ्गी,0
427404,131301,शार्ङ्खलतोदि,n,n-----m--i,,,,/ɕɑːɹŋ.kʰə.lə.t̪oː.d̪i/,शार्ङ्खलतोदि,0
427405,,शास्,v,v----a--2-,,,,/ɕɑːs/,शास्,0
427406,131479,शास्,n,n-----f-sā,,,,/ɕɑːs/,शा॔स्,0
496653,214870,इव्,n,n-----m--c,,,,/ʋ/,,0
427409,,शासहस्त,a,ap----a--a,,,,/ɕɑː.sə.ˈɦəs.t̪ə/,शास॔-हस्त,0
427410,131481,शासक,n,n-----m--a,,,,/ɕɑː.sə.kə/,शासक,0
427416,132503,शासन,a,ap----a--a,,ap----f--ī=>ी,,/ɕɑː.sə.nə/,शा॔सन,0
427419,132505,शासन,n,n-----n--a,,,n-----f--ā=शासनआ,/ɕɑː.sə.nə/,शा॔सन,0
427421,131483,शासनदेवता,n,n-----f--ā,,,,/ɕɑː.sə.nə.d̪eː.ʋə.t̪ɑː/,शा॔सन-देवता,0
427422,131484,शासनदेवी,n,n-----f--ī,,,,/ɕɑː.sə.nə.d̪eː.ʋiː/,शा॔सन-देवी,0
427423,131485,शासनधर,a,ap----a--a,,,,/ɕɑː.sə.nə.d̪ʰə.ɹə/,शा॔सन-धर,0
