,भूमिपतित्व,n,n-----n--a,,,,/bʱuː.mi.pə.ˈt̪it̪.ʋə/,भूमि-पति-त्व,0
232639,25570,भूर्भुव,n,n-----m--a,,,,/bʱuːɹ.bʱu.ʋə/,भू॔र्-भुव,0
232640,25571,भूर्भुवकर,n,n-----m--a,,,,/bʱuːɹ.bʱu.ʋə.kə.ɹə/,भू॔र्-भुव-कर,0
232641,,भूर्भुवतीर्थ,n,n-----n--a,,,,/bʱuːɹ.bʱu.ʋə.t̪iːɹ.t̪ʰə/,भू॔र्-भुव-तीर्थ,0
232642,,भूर्भुवेश्वरतीर्थ,n,n-----n--a,,,,/bʱuːɹbʱuʋeːɕʋəɹət̪iːɹt̪ʰə/,भू॔र्-भुवेश्वर-तीर्थ,0
232643,25572,भूर्भूर,n,n-----m--a,,,,/bʱuːɹ.bʱuː.ɹə/,भू॔र्-भूर,0
232644,25573,भूर्भूव,n,n-----m--a,,,,/bʱuːɹ.bʱuː.ʋə/,भू॔र्-भूव,0
232645,25576,भूरि,n,n-----m--i,,,,/bʱuː.ɹi/,भू॔रि,0
232648,25578,भूरि,n,n-----f--i,,,,/bʱuː.ɹi/,भू॔रि,0
232649,25575,भूरि,a,ap----a--i,,,,/bʱuː.ɹi/,भू॔रि,0
232650,25622,भूरिबल,n,n-----m--a,,,,/bʱuː.ɹi.bə.lə/,भू॔रि-बल,0
232780,25207,भूत,n,n-----n--a,,,,/bʱuː.t̪ə/,भूत॔,0
232651,25623,भूरिबला,n,n-----f--ā,,,,/bʱuː.ɹi.bə.lɑː/,भू॔रि-बला,0
232652,25624,भूरिभट्ट,n,n-----m--a,,,,/bʱuː.ɹi.ˈbʱəʈ.ʈə/,भू॔रि-भट्ट,0
232653,25626,भूरिभोज,a,ap----a--a,,,,/bʱuː.ɹi.bʱoː.d͡ʑə/,भू॔रि-भोज,0
232654,25625,भूरिभार,a,ap----a--a,,,,/bʱuː.ɹi.bʱɑː.ɹə/,भू॔रि-भार,0
232655,25587,भूरिचक्षस्,a,ap----a-sa,,,,/bʱuː.ɹi.ˈt͡ɕək.ʂəs/,भू॔रि-चक्षस्,0
232656,25596,भूरिद,a,ap----a--a,,,,/bʱuː.ɹi.d̪ə/,भू॔रि-द,0
232657,,भूरिदक्षिण,a,ap----a--a,,,,/bʱuː.ɹi.ˈd̪ək.ʂi.ɳə/,भू॔रि-दक्षिण,0
232658,,भूरिदक्षिणम्,r,rp--------,,,,/bʱuː.ɹi.ˈd̪ək.ʂi.ɳəm/,भू॔रि-दक्षिणम्,0
232659,25602,भूरिधन,a,ap----a--a,,,,/bʱuː.ɹi.d̪ʰə.nə/,भू॔रि-धन,0
