c,430246,467785
1453380,-c,357704,408682
1453381,+c,463268,357788
1453382,-c,357788,463268
1453383,+c,466654,357788
1453384,-c,357788,466654
1453385,+c,463268,357789
1453386,-c,357789,463268
1453387,+c,466654,357789
1453388,-c,357789,466654
1453389,+c,463268,357710
1453390,-c,357710,463268
1453391,+c,408801,357710
1453392,-c,357710,408801
1453393,+c,463268,357797
1453394,-c,357797,463268
1453395,+c,463268,357781
1453396,-c,357781,463268
1453397,+c,463268,357798
1453398,-c,357798,463268
1453399,+c,466668,357798
1453400,-c,357798,466668
1453401,+c,463268,357799
1453402,-c,357799,463268
1453403,+c,466674,357799
1453404,-c,357799,466674
1453405,+c,463268,357800
1453406,-c,357800,463268
1453407,+c,463268,463417
1453408,-c,463417,463268
1453409,+c,463268,357794
1453410,-c,357794,463268
1453411,+c,466662,357794
1453412,-c,357794,466662
1453413,+c,463268,357796
1453414,-c,357796,463268
1453415,+c,411105,357796
1453416,-c,357796,411105
1453417,+c,463268,357793
1453418,-c,357793,463268
1453419,+c,466662,357793
1453420,-c,357793,466662
1453437,+c,463268,357782
1453438,-c,357782,463268
1453439,+c,410813,357782
1453440,-c,357782,410813
1453441,+c,463268,357757
1453442,-c,357757,463268
1453443,+c,463268,357740
1453444,-c,357740,463268
1453445,+c,463268,357801
1453446,-c,357801,463268
1453447,+c,410711,357778
1453448,-c,357778,410711
1453449,+c,463268,357780
1453450,-c,357780,463268
1453451,+c,463268,357762
1453452,-c,357762,463268
1453453,+c,410618,357762
1453454,-c,357762,410618
1453455,+c,466624,357766
1453456,-c,357766,466624
1453457,+c,410687,357772
1453458,-c,357772,410687
1453459,+c,466624,357770
1453460,-c,357770,466624
1453461,+c,466624,357771
1453462,-c,357771,466624
1453463,+c,466624,357769
1453464,-c,357769,466624
1453465,+c,466624,357768
1453466,-c,357768,466624
1453467,+c,463268,357759
1453468,-c,357759,463268
1453469,+c,466618,357759
1453470,-c,357759,466618
1453471,+c,463268,357760
1453472,-c,357760,463268
1453473,+c,466618,357760
1453474,-c,357760,466618
1453475,+c,463268,357761
1453476,-c,357761,463268
1453477,+c,466618,357761
1453478,-c,357761,466618
1453479,+c,463268,357764
1453480,-c,357764,463268
1453481,+c,410618,357764
1453482,-c,357764,410618
1453483,+c,463268,357763
1453484,-c,357763,463268
1453485,+c,410618,357763
1453486,-c,357763,410618
1453487,+c,463268,357765
1453488,-c,357765,463268
1453489,+c,410618,357765
1453490,-c,357765,410618
1453491,+c,463268,357744
1453492,-c,357744,463268
1453493,+c,466594,357744
1453494,-c,357744,466594
1453495,+c,463268,357746
1453496,-c,357746,463268
1453497,+c,466594,357746
1453498,-c,357746,466594
1453499,+c,464661,357746
1453500,-c,357746,464661
1453501,+c,463268,357745
1453502,-c,357745,463268
1453503,+c,466594,357745
1453504,-c,357745,466594
1453505,+c,460457,357745
1453506,-c,357745,460457
1453507,+c,463268,357747
1453508,-c,357747,463268
1453509,+c,466594,357747
1453510,-c,357747,466594
1453511,+c,463268,357749
1453512,-c,357749,463268
1453513,+c,410239,357749
1453514,-c,357749,410239
1453515,+c,463268,357748
1453516,-c,357748,463268
1453517,+c,463268,357750
1453518,-c,357750,463268
1453519,+c,464661,357750
1453520,-c,357750,464661
1453521,+c,463268,357751
1453522,-c,357751,463268
1453523,+c,410319,357751
1453524,-c,357751,410319
1453525,+c,463268,357752
1453526,-c,357752,463268
1453527,+c,463268,357753
1453528,-c,357753,463268
1453529,+c,410336,357753
1453530,-c,357753,410336
1453531,+c,463268,357754
1453532,-c,357754,463268
1453533,+c,410339,357754
1453534,-c,357754,410339
1453535,+c,463268,357755
1453536,-c,357755,463268
1453537,+c,410339,357755
1453538,-c,357755,410339
1453539,+c,272156,357755
1453540,-c,357755,272156
1453541,+c,410518,357755
1453542,-c,357755,410518
1453543,+c,463268,357756
1453544,-c,357756,463268
1453545,+c,463268,357758
1453546,-c,357758,463268
1453547,+c,463268,357779
1453548,-c,357779,463268
1453549,+c,463268,357741
1453550,-c,357741,463268
1453551,+c,463268,463416
1453552,-c,463416,463268
1453553,+c,409946,463416
1453554,-c,463416,409946
