136797,मीमांसामकरन्द,n,n-----m--a,,,,/miː.mɑː̃.sɑː.mə.kə.ɹən.d̪ə/,मीमांसा॔-मकरन्द,0
302314,136788,मीनाण्ड,n,n-----n--a,,,,/miː.nɑːɳ.ɖə/,मीनाण्ड,0
302315,,मीनाण्ड,n,n--------a,,,n-----f--ā=मीनाण्डआ n-----f--ī=मीनाण्डई,/miː.nɑːɳ.ɖə/,मीनाण्ड,0
302316,133318,मीर,n,n-----m--a,,,,/miː.ɹə/,मीर,0
302317,136803,मीरमीरा,n,n-----f--ā,,,,/miː.ɹə.miː.ɹɑː/,मीरमीरा,0
302318,,मीरमीरासुत,n,n-----m--a,,,,/miː.ɹə.miː.ɹɑː.su.t̪ə/,मीरमीरा-सुत,0
302319,,मीव्,v,v----a--1-,,,,/miːʋ/,मीव्,0
302321,136805,मीवग,n,n-----m--a,,,"{'pos': 'n', 'person': '-', 'number': '-', 'tense': '-', 'mood': '-', 'voice': '-', 'gender': 'n', 'case': '-', 'group': '-', 'stem': 'a'}=मीवग",/miː.ʋə.gə/,मीवग,0
302322,,मीवन्,n,n-----m--n,,,,/miː.ʋən/,मीवन्,0
302324,136807,मीवर,n,n-----m--a,,,,/miː.ʋə.ɹə/,मीवर,0
302325,136806,मीवर,a,ap----a--a,,ap----f--ī=>ी,,/miː.ʋə.ɹə/,मीवर,0
302326,136808,मीवा,n,n-----f--ā,,,,/miː.ʋɑː/,मीवा,0
302327,,मी|अ,n,n-----n--a,,,,/miː.|ə/,मी|अ॔,0
302328,,मी|उ,n,n-----m--u,,,,/miː.|u/,मी|उ॔,0
302329,133279,मीडम्,r,rp--------,,,,/miː.ɖəm/,मीडम्,0
302331,136778,मीढ,n,n-----n--a,,,,/miː.ɖʰə/,मीढ,0
302332,136778,मीढ,n,n-----n--a,,,,/miː.ɖʰə/,मीढ॔,0
302333,136775,मीढ,a,ap----a--a,,,,/miː.ɖʰə/,मीढ,0
302334,136776,मीढ,n,n-----m--a,,,,/miː.ɖʰə/,मीढ,0
302335,,मीढु,n,n-----m--u,,,,/miː.ɖʰu/,मीढु,0
302336,133269,मीढुष,n,n-----m--a,,,,/miː.ɖʰu.ʂə/,मीढुष,0
302337,133268,मीढुष्मत्,a,ap----a--c,,,,/miː.ˈɖʰuʂ.mət̪/,मीढु॔ष्-मत्,0
302338,,मीढुषी,n,n-----f--ī,,,,/miː.ɖʰu.ʂiː/,मीढु॔षी,0
302340,,मीढुष्टम,a,ap----a--a,,,,/miː.ˈɖʰuʂ.ʈə.mə/,मीढु॔ष्-टम,0
302341,209216,मीढुष्टम,n,n-----m--a,,,,/miː.ˈɖʰuʂ.ʈə.mə/,मीढु॔ष्-टम,0
302342,212365,मीढ्वस्,a,ap----a-sa,,ap----f-sī=>ुषी,,/miːɖʰ.ʋəs/,मीढ्व॔स्,0
302343,136777,मीढा,n,n-----f--ā,,,,/miː.ɖʰɑː/,मीढा,0
302344,,मू,v,v----d--1-,,,,/muː/,मू,0
302345,,मू,a,ap----a--ū,,,,/muː/,मू,0
302346,,मू,n,n-----f--ū,,,,/muː/,मू,0
