95015,पितरिशूर,n,n-----m--a,,,,/pi.t̪ə.ɹi.ɕuː.ɹə/,पितरि-शूर,0
324768,150866,प्रनष्टज्ञानिक,a,ap----a--a,,,,/p.ɹə.ˈnəʂ.ˈʈəd͡ʑ.ɲɑː.ni.kə/,प्र-नष्ट-ज्ञानिक,0
324769,150868,प्रनष्टस्वामिक,a,ap----a--a,,,,/p.ɹə.ˈnəʂ.ˈʈəs.ʋɑː.mi.kə/,प्र-नष्ट-स्वामिक,0
324770,150867,प्रनष्टविनय,a,ap----a--a,,,,/p.ɹə.ˈnəʂ.ʈə.ʋi.nə.jə/,प्र-नष्ट-विनय,0
324771,,प्रनष्टाधिगत,a,ap----a--a,,,,/p.ɹə.ˈnəʂ.ʈɑː.d̪ʰi.gə.t̪ə/,प्रनष्टाधिगत,0
324772,,प्रनिभिद्,v,v----a--7- v----d--7- v----a--1-,,,,/p.ɹə.ni.bʱid̪/,प्र-नि-भिद्,0
324773,140623,प्रनिघातन,n,n-----n--a,,,,/p.ɹə.ni.gʰɑː.t̪ə.nə/,प्र-निघातन,0
324774,,प्रनिक्षण,n,n-----n--a,,,,/p.ɹə.ˈnik.ʂə.ɳə/,प्र-निक्षण,0
324775,,प्रनिन्दन,n,n-----n--a,,,,/p.ɹə.nin.d̪ə.nə/,प्र-निन्दन,0
324776,,प्रनिरक्ष्,v,v----a--1- v----d--1-,,,,/p.ɹə.ni.ɹəkʂ/,प्र-नि-रक्ष्,0
324777,,प्रनिंसितव्य,a,ap----a--a,,,,/p.ɹə.ˈnĩ.si.ˈt̪əʋ.jə/,प्र-निंसितव्य,0
324778,,प्रनुद्,a,ap----a--c,,,,/p.ɹə.nud̪/,प्र-नुद्,0
324779,140622,प्रनायक,a,ap----a--a,,,,/p.ɹə.nɑː.jə.kə/,प्र-नायक,0
324780,,प्रनीड,a,ap----a--a,,,,/p.ɹə.niː.ɖə/,प्र-नीड,0
324781,162907,प्रनृत्,v,v----a--4-,,,,/p.ɹə.nɹ̩t̪/,प्र-नृत्,0
324782,140893,प्रनृत्त,n,n-----n--a,,,,/p.ɹə.ˈnɹ̩t̪.t̪ə/,प्र-नृत्त,0
324783,,प्रनृत्त,a,ap----a--a,,,,/p.ɹə.ˈnɹ̩t̪.t̪ə/,प्र-नृत्त,0
324784,,प्रनृत्तवत्,a,ap----a--c,,,,/p.ɹə.ˈnɹ̩t̪.t̪ə.ʋət̪/,प्र-नृत्त-वत्,0
324785,,प्रनृत्य,a,ap----a--a,,,,/p.ɹə.ˈnɹ̩t̪.jə/,प्र-नृत्य,0
324786,,प्रपच्,v,v----a--1- v----d--1- v----d--4-,,,,/p.ɹə.pət͡ɕ/,प्र-पच्,0
324788,140647,प्रपद्,n,n-----f--c,,,,/p.ɹə.pəd̪/,प्र-पद्,0
324789,140647,प्रपद्,n,n-----f--c,,,,/p.ɹə.pəd̪/,प्र॔-पद्,0
324790,162912,प्रपद्,v,v----d--4-,,,,/p.ɹə.pəd̪/,प्र-पद्,0
324791,140908,प्रपद,n,n-----n--a,,,,/p.ɹə.pə.d̪ə/,प्र॔-पद,0
324792,,प्रपदैस्,r,rp--------,,,,/p.ɹə.pə.d̪ɑːis/,प्र॔-पदैस्,0
324793,140644,प्रपदम्,r,rp--------,,,,/p.ɹə.pə.d̪əm/,प्र-पदम्,0
324794,140643,प्रपदन,n,n-----n--a,,,,/p.ɹə.pə.d̪ə.nə/,प्र-पदन,0
324795,140627,प्रपक्व,a,ap----a--a,,,,/p.ɹə.ˈpək.ʋə/,प्र-पक्व,0
324796,140895,प्रपक्ष,a,ap----a--a,,,,/p.ɹə.ˈpək.ʂə/,प्र-पक्ष,0
324797,140894,प्रपक्ष,n,n-----m--a,,,,/p.ɹə.ˈpək.ʂə/,प्र-पक्ष,0
324799,,प्रपलाय्,v,v----a---- v----d----,,,,/p.ɹə.pə.lɑːj/,प्र-पलाय्,0
324800,140650,प्रपलायन,n,n-----n--a,,,,/p.ɹə.pə.lɑː.jə.nə/,प्र-पलायन,0
324801,140652,प्रपलायिन्,a,ap----a--n,,,,/p.ɹə.pə.lɑː.jin/,प्र-पलायिन्,0
324802,140651,प्रपलायित,a,ap----a--a,,,,/p.ɹə.pə.lɑː.ji.t̪ə/,प्र-पलायित,0
324803,,प्रपलाश,a,ap----a--a,,,,/p.ɹə.pə.lɑː.ɕə/,प्र-पलाश,0
324804,140907,प्रपन्न,a,ap----a--a,,,,/p.ɹə.pən.nə/,प्र-पन्न,0
324805,,प्रपन्नदिनचर्या,n,n-----f--ā,,,,/p.ɹə.pən.nə.d̪i.nə.ˈt͡ɕəɹ.jɑː/,प्र-पन्न-दिन-चर्या,0
324806,,प्रपन्नदुष्टारिष्टशान्ति,n,n-----f--i,,,,/p.ɹə.pən.nə.ˈd̪uʂ.ʈɑː.ˈɹiʂ.ʈə.ɕɑːn.t̪i/,प्र-पन्न-दुष्टारिष्ट-शान्ति,0
324807,,प्रपन्नगतिदीपिका,n,n-----f--ā,,,,/p.ɹə.pən.nə.gə.t̪i.d̪iː.pi.kɑː/,प्र-पन्न-गति-दीपिका,0
324808,,प्रपन्नलक्षण,n,n-----n--a,,,,/p.ɹə.pən.nə.ˈlək.ʂə.ɳə/,प्र-पन्न-लक्षण,0
324809,,प्रपन्नमालिका,n,n-----f--ā,,,,/p.ɹə.pən.nə.mɑː.li.kɑː/,प्र-पन्न-मालिका,0
324810,,प्रपन्नपाल,n,n-----m--a,,,,/p.ɹə.pən.nə.pɑː.lə/,प्र-पन्न-पाल,0
324811,,प्रपन्नपारिजात,n,n-----m--a,,,,/p.ɹə.pən.nə.pɑː.ɹi.d͡ʑɑː.t̪ə/,प्र-पन्न-पारिजात,0
324812,,प्रपन्नामृत,n,n-----n--a,,,,/p.ɹə.pən.nɑː.mɹ̩.t̪ə/,प्र-पन्नामृत,0
324813,,प्रपन्नार्तिहर,a,ap----a--a,,ap----f--ī=>ी,,/p.ɹə.pən.nɑːɹ.t̪i.ɦə.ɹə/,प्र-पन्नार्ति-हर,0
324814,140648,प्रपन्नाड,n,n-----m--a,,,,/p.ɹə.pən.nɑː.ɖə/,प्रपन्नाड,0
324815,140649,प्रपर्ण,a,ap----a--a,,,,/p.ɹə.ˈpəɹ.ɳə/,प्र-पर्ण,0
324816,,प्रपत्,v,v----a--1- v----d--1-,,,,/p.ɹə.pət̪/,प्र-पत्,0
324817,140635,प्रपतन,n,n-----n--a,,,,/p.ɹə.pə.t̪ə.nə/,प्र-पतन,0
324818,140900,प्रपथ,n,n-----m--a,,,,/p.ɹə.pə.t̪ʰə/,प्र॔-पथ,0
324819,140901,प्रपथ,a,ap----a--a,,,,/p.ɹə.pə.t̪ʰə/,प्र॔-पथ,0
324820,140902,प्रपथिन्,a,ap----a--n,,,,/p.ɹə.pə.t̪ʰin/,प्र॔-पथि॔न्,0
324821,140903,प्रपथिन्,n,n-----m--n,,,,/p.ɹə.pə.t̪ʰin/,प्र॔-पथि॔न्,0
324822,140904,प्रपथ्य,a,ap----a--a,,,,/p.ɹə.ˈpət̪ʰ.jə/,प्र॔-पथ्य॔,0
324823,140905,प्रपथ्या,n,n-----f--ā,,,,/p.ɹə.ˈpət̪ʰ.jɑː/,प्र॔-पथ्या,0
324824,,प्रपथा,n,n-----f--ā,,,,/p.ɹə.pə.t̪ʰɑː/,प्र॔-पथा,0
324825,,प्रपतित,a,ap----a--a,,,,/p.ɹə.pə.t̪i.t̪ə/,प्र-पतित,0
324826,222816,प्रपतिष्णु,a,ap----a--u,,,,/p.ɹə.pə.ˈt̪iʂ.ɳu/,प्र-पतिष्णु,0
324827,140906,प्रपत्ति,n,n-----f--i,,,,/p.ɹə.ˈpət̪.t̪i/,प्र-पत्ति,0
324828,,प्रपत्तिपरिशीलन,n,n-----n--a,,,,/p.ɹə.ˈpət̪.t̪i.pə.ɹi.ɕiː.lə.nə/,प्र-पत्ति-परिशीलन,0
324829,,प्रपत्त्युपाधित्वनिषेध,n,n-----m--a,,,,/p.ɹə.ˈpət̪.t̪ju.pɑː.ˈd̪ʰit̪.ʋə.ni.ʂeː.d̪ʰə/,प्र-पत्त्य्-उपाधित्व-निषेध,0
324830,140913,प्रपौत्र,n,n-----m--a,,,,/p.ɹə.ˈpəौ.t̪ɹə/,प्र-पौत्र,0
324831,140914,प्रपौत्री,n,n-----f--ī,,,,/p.ɹə.ˈpəौ.t̪ɹiː/,प्र-पौत्री,0
324832,140687,प्रपौण्डरीक,n,n-----n--a,,,,/p.ɹə.ˈpəौɳ.ɖə.ɹiː.kə/,प्र-पौण्डरीक,0
324833,140656,प्रपवनीय,a,ap----a--a,,,,/p.ɹə.pə.ʋə.niː.jə/,प्र-पवनीय,0
324834,140654,प्रपवण,n,n-----n--a,,,,/p.ɹə.pə.ʋə.ɳə/,प्र-पवण,0
324835,140655,प्रपवणीय,a,ap----a--a,,,,/p.ɹə.pə.ʋə.ɳiː.jə/,प्र-पवणीय,0
324836,140896,प्रपञ्च,n,n-----m--a,,,,/p.ɹə.pəɲ.t͡ɕə/,प्र-पञ्च,0
324837,,प्रपञ्चबुद्धि,a,ap----a--i,,,,/p.ɹə.pəɲ.t͡ɕə.ˈbud̪.d̪ʰi/,प्र-पञ्च-बुद्धि,0
324838,,प्रपञ्चबुद्धि,n,n-----m--i,,,,/p.ɹə.pəɲ.t͡ɕə.ˈbud̪.d̪ʰi/,प्र-पञ्च-बुद्धि,0
324839,,प्रपञ्चचतुर,a,ap----a--a,,,,/p.ɹə.pəɲ.t͡ɕə.t͡ɕə.t̪u.ɹə/,प्र-पञ्च-चतुर,0
324840,140898,प्रपञ्चक,a,ap----a--a,,ap----f--ā=>िका,,/p.ɹə.pəɲ.t͡ɕə.kə/,प्र-पञ्चक,0
324841,,प्रपञ्चमिथ्यात्व,n,n-----n--a,,,,/p.ɹə.pəɲ.t͡ɕə.ˈmit̪ʰ.jɑːt̪.ʋə/,प्र-पञ्च-मिथ्या-त्व,0
324842,,प्रपञ्चमिथ्यात्वानुमान,n,n-----n--a,,,,/p.ɹə.pəɲ.t͡ɕə.ˈmit̪ʰ.jɑːt̪.ʋɑː.nu.mɑː.nə/,प्र-पञ्च-मिथ्या-त्वानुमान,0
324843,,प्रपञ्चमिथ्यात्वानुमानखण्डन,n,n-----n--a,,,,/p.ɹə.pəɲ.t͡ɕə.ˈmit̪ʰ.jɑːt̪.ʋɑː.nu.mɑː.nə.ˈkʰəɳ.ɖə.nə/,प्र-पञ्च-मिथ्या-त्वानुमान-खण्डन,0
324844,,प्रपञ्चमिथ्यात्वानुमानखण्डनपरशु,n,n-----m--u,,,,/p.ɹə.pəɲ.t͡ɕə.ˈmit̪ʰ.jɑːt̪.ʋɑː.nu.mɑː.nə.ˈkʰəɳ.ɖə.nə.pə.ɹə.ɕu/,प्र-पञ्च-मिथ्या-त्वानुमान-खण्डन-परशु,0
324845,140629,प्रपञ्चन,n,n-----n--a,,,,/p.ɹə.pəɲ.t͡ɕə.nə/,प्र-पञ्चन,0
324846,,प्रपञ्चनिर्माण,n,n-----n--a,,,,/p.ɹə.pəɲ.t͡ɕə.ˈniɹ.mɑː.ɳə/,प्र-पञ्च-निर्माण,0
324847,,प्रपञ्चसार,n,n-----m--a,,,,/p.ɹə.pəɲ.t͡ɕə.sɑː.ɹə/,प्र-पञ्च-सार,0
324848,,प्रपञ्चसारसारसंग्रह,n,n-----m--a,,,,/p.ɹə.pəɲ.t͡ɕə.sɑː.ɹə.sɑː.ɹə.səŋ.gɹə.ɦə/,प्र-पञ्च-सार-सार-संग्रह,0
324930,,प्रपामण्डप,n,n-----m--a,,,,/p.ɹə.pɑː.ˈməɳ.ɖə.pə/,प्र-पा॔-मण्डप,0
324849,,प्रपञ्चसारविवेक,n,n-----m--a,,,,/p.ɹə.pəɲ.t͡ɕə.sɑː.ɹə.ʋi.ʋeː.kə/,प्र-पञ्च-सार-विवेक,0
324850,,प्रपञ्चतस्,r,rp--------,,,,/p.ɹə.pəɲ.t͡ɕə.t̪əs/,प्र-पञ्च-तस्,0
324851,,प्रपञ्चत्व,n,n-----n--a,,,,/p.ɹə.pəɲ.ˈt͡ɕət̪.ʋə/,प्र-पञ्च-त्व,0
324852,,प्रपञ्चवचन,n,n-----n--a,,,,/p.ɹə.pəɲ.t͡ɕə.ʋə.t͡ɕə.nə/,प्र-पञ्च-वचन,0
324853,,प्रपञ्चविवेक,n,n-----m--a,,,,/p.ɹə.pəɲ.t͡ɕə.ʋi.ʋeː.kə/,प्र-पञ्च-विवेक,0
324855,,प्रपञ्चेन,r,rp--------,,,,/p.ɹə.pəɲ.t͡ɕeː.nə/,प्र-पञ्चेन,0
324856,140897,प्रपञ्चिका,n,n-----f--ā,,,,/p.ɹə.pəɲ.t͡ɕi.kɑː/,प्र-पञ्चिका,0
324857,140630,प्रपञ्चित,a,ap----a--a,,,,/p.ɹə.pəɲ.t͡ɕi.t̪ə/,प्र-पञ्चित,0
324858,,प्रपञ्चामृतसार,n,n-----m--a,,,,/p.ɹə.pəɲ.t͡ɕɑː.mɹ̩.t̪ə.sɑː.ɹə/,प्र-पञ्चामृत-सार,0
324859,,प्रपञ्चास्य,a,ap----a--a,,ap----f--ā=>ा,,/p.ɹə.pəɲ.t͡ɕɑːs.jə/,प्र-पञ्चास्य,0
324860,,प्रपश्,v,v----a--0-,,,,/p.ɹə.pəɕ/,प्र-पश्,0
324861,140658,प्रपश्यमान,a,ap----a--a,,,,/pɹəpəɕjəmɑːnə/,प्र-पश्यमान,0
324862,140657,प्रपश्यत्,a,ap----a--c,,,,/pɹəpəɕjət̪/,प्र-पश्यत्,0
324863,140634,प्रपण,n,n-----m--a,,,,/p.ɹə.pə.ɳə/,प्र-पण॔,0
324864,162909,प्रपठ्,v,v----a--1-,,,,/p.ɹə.pəʈʰ/,प्र-पठ्,0
324865,,प्रफर्विदा,n,n-----f--ā,,,,/p.ɹə.ˈpʰəɹ.ʋi.d̪ɑː/,प्रफर्वि-दा,0
324866,140916,प्रफर्वी,n,n-----f--ī,,,,/p.ɹə.ˈpʰəɹ.ʋiː/,प्रफर्वी॔,0
324867,,प्रफर्वीदा,n,n-----f--ā,,,,/p.ɹə.ˈpʰəɹ.ʋiː.d̪ɑː/,प्रफर्वी-दा,0
324868,140699,प्रफुल्ल,a,ap----a--a,,,,/p.ɹə.ˈpʰul.lə/,प्रफुल्ल,0
324869,140700,प्रफुल्लनगवत्,a,ap----a--c,,,,/p.ɹə.ˈpʰul.lə.nə.gə.ʋət̪/,प्रफुल्ल-नग-वत्,0
324870,,प्रफुल्लनयन,a,ap----a--a,,,,/p.ɹə.ˈpʰul.lə.nə.jə.nə/,प्रफुल्ल-नयन,0
324871,140701,प्रफुल्लनेत्र,a,ap----a--a,,,,/p.ɹə.ˈpʰul.lə.neːt̪.ɹə/,प्रफुल्ल-नेत्र,0
324872,140702,प्रफुल्लवदन,a,ap----a--a,,,,/p.ɹə.ˈpʰul.lə.ʋə.d̪ə.nə/,प्रफुल्ल-वदन,0
324873,,प्रफुल्त,a,ap----a--a,,,,/p.ɹə.ˈpʰul.t̪ə/,प्र-फुल्त,0
324874,140698,प्रफुल्ति,n,n-----f--i,,,,/p.ɹə.ˈpʰul.t̪i/,प्र-फुल्ति,0
324875,,प्रपिन्व्,v,v----a--1- v----d--1-,,,,/p.ɹə.pinʋ/,प्र-पिन्व्,0
324876,140640,प्रपित्सु,a,ap----a--u,,,,/p.ɹə.ˈpit̪.su/,प्र-पित्सु,0
324878,140674,प्रपित्व,n,n-----n--a,,,,/p.ɹə.ˈpit̪.ʋə/,प्र-पित्व॔,0
324879,140910,प्रपितामह,n,n-----m--a,,,,/p.ɹə.pi.t̪ɑː.mə.ɦə/,प्र॔-पितामह,0
324881,140911,प्रपितामही,n,n-----f--ī,,,,/p.ɹə.pi.t̪ɑː.mə.ɦiː/,प्र॔-पितामही,0
324882,140673,प्रपितृव्य,n,n-----m--a,,,,/p.ɹə.pi.ˈt̪ɹ̩ʋ.jə/,प्र-पितृव्य,0
324883,,प्रपिष्,v,v----a--7- v----d--7-,,,,/p.ɹə.piʂ/,प्र-पिष्,0
324884,140912,प्रपिष्ट,a,ap----a--a,,,,/p.ɹə.ˈpiʂ.ʈə/,प्र॔-पिष्ट,0
324885,,प्रपिष्टभाग,a,ap----a--a,,,,/p.ɹə.ˈpiʂ.ʈə.bʱɑː.gə/,प्र॔-पिष्ट॔-भाग,0
324886,162928,प्रप्लु,v,v----d--1- v----a--1-,,,,/p.ˈɹəp.lu/,प्र-प्लु,0
324887,140696,प्रप्लुत,a,ap----a--a,,,,/p.ˈɹəp.lu.t̪ə/,प्र-प्लुत,0
324888,140695,प्रप्लावन,n,n-----n--a,,,,/p.ˈɹəp.lɑː.ʋə.nə/,प्र-प्लावन,0
335863,93345,पाणिन,n,n-----m--a,,,,/pɑː.ɳi.nə/,पाणिन,0
324889,,प्रप्रजन्,v,v----a--1- v----d--0- v----a--0- v----d--3- v----a--0- v----a--4- v----d--2- v----d--1-,,,,/p.ˈɹəp.ɹə.d͡ʑən/,प्र-प्र-जन्,0
324890,,प्रप्रपॄ,v,v----a--9- v----a--6- v----a--3- v----d--3-,,,,/p.ˈɹəp.ɹə.pɹ̩ː/,प्र-प्र-पॄ,0
324891,,प्रप्रर्ष्,v,v----a--6-,,,,/p.ˈɹəp.ɹəɹʂ/,प्र-प्रर्ष्,0
324892,,प्रप्रस्था,v,v----a--1- v----d--1-,,,,/p.ˈɹəp.ˈɹəs.t̪ʰɑː/,प्र-प्र-स्था,0
324893,,प्रप्रवी,v,v----d--4-,,,,/p.ˈɹəp.ɹə.ʋiː/,प्र-प्र-वी,0
324894,,प्रप्रशंस्,v,v----a--1- v----d--1-,,,,/p.ˈɹəp.ɹə.ɕə̃s/,प्र-प्र-शंस्,0
324895,,प्रप्रश्रु,v,v----a--5- v----d--5-,,,,/pɹəpɹəɕɹu/,प्र-प्र-श्रु,0
324896,,प्रप्रे,v,v----a--2- v----d----,,,,/p.ˈɹəp.ɹeː/,प्र॔-प्रे,0
324897,140694,प्रप्रोथ,n,n-----m--a,,,,/p.ˈɹəp.ɹoː.t̪ʰə/,प्र-प्रोथ॔,0
324898,,प्रप्रुथ्,v,v----a--1- v----d--1-,,,,/p.ˈɹəp.ɹut̪ʰ/,प्र-प्रुथ्,0
324899,,प्रप्रास्,v,v----a----,,,,/p.ˈɹəp.ɹɑːs/,प्र-प्रास्,0
324900,,प्रप्री,v,v----a--9- v----d--9- v----d--4- v----a--4-,,,,/p.ˈɹəp.ɹiː/,प्र-प्री,0
324901,,प्रपुनाड,n,n-----m--a,,,,/p.ɹə.pu.nɑː.ɖə/,प्रपुनाड,0
324902,140679,प्रपुनाट,n,n-----m--a,,,,/p.ɹə.pu.nɑː.ʈə/,प्रपुनाट,0
324903,140680,प्रपुराण,a,ap----a--a,,,,/p.ɹə.pu.ɹɑː.ɳə/,प्र-पुराण,0
324904,,प्रपुथ्,v,v----a--4- v----d--4-,,,,/p.ɹə.put̪ʰ/,प्र-पुथ्,0
324905,140678,प्रपुत्र,n,n-----m--a,,,,/p.ɹə.ˈput̪.ɹə/,प्र-पुत्र,0
324906,,प्रपुंनड,n,n-----m--a,,,,/p.ɹə.ˈpũ.nə.ɖə/,प्रपुंनड,0
324907,,प्रपुंनाल,n,n-----m--a,,,,/p.ɹə.ˈpũ.nɑː.lə/,प्रपुंनाल,0
324908,,प्रपुंनाड,n,n-----m--a,,,,/p.ɹə.ˈpũ.nɑː.ɖə/,प्रपुंनाड,0
324909,,प्रपुंनाट,n,n-----m--a,,,,/p.ɹə.ˈpũ.nɑː.ʈə/,प्रपुंनाट,0
324910,,प्रपुष्,v,v----a--1- v----a--4- v----a--9-,,,,/p.ɹə.puʂ/,प्र-पुष्,0
324911,140681,प्रपुष्पित,a,ap----a--a,,,,/p.ɹə.ˈpuʂ.pi.t̪ə/,प्र-पुष्पित,0
324912,140677,प्रपुट,n,n-----m--a,,,,/p.ɹə.pu.ʈə/,प्र-पुट,0
324913,,प्रप्यै,v,v----d--1-,,,,/p.ˈɹəp.jɑːi/,प्र-प्यै,0
324914,140688,प्रप्यस,a,ap----a--a,,,,/p.ˈɹəp.jə.sə/,प्र-प्यस॔,0
324915,,प्रप्यान,a,ap----a--a,,,,/p.ˈɹəp.jɑː.nə/,प्र॔-प्यान,0
324916,,प्रप्यात,a,ap----a--a,,,,/p.ˈɹəp.jɑː.t̪ə/,प्र॔-प्यात,0
324917,,प्रप्यायन,n,n-----n--a,,,,/p.ˈɹəp.jɑː.jə.nə/,प्र-प्यायन,0
324918,,प्रप्यायनीय,a,ap----a--a,,,,/p.ˈɹəp.jɑː.jə.niː.jə/,प्र-प्यायनीय,0
324919,140693,प्रप्याययितृ,a,ap----a--r,,,,/p.ˈɹəp.jɑː.jə.ji.t̪ɹ̩/,प्र-प्याययितृ॔,0
324920,140909,प्रपा,n,n-----f--ā,,,,/p.ɹə.pɑː/,प्र-पा॔,0
324921,,प्रपा,v,v----d--3-,,,,/p.ɹə.pɑː/,प्र-पा,0
324923,140672,प्रपादिक,n,n-----m--a,,,,/p.ɹə.pɑː.d̪i.kə/,प्रपादिक,0
324924,140645,प्रपादुक,a,ap----a--a,,,,/p.ɹə.pɑː.d̪u.kə/,प्र-पा॔दुक,0
324925,,प्रपादीक,n,n-----m--a,,,,/p.ɹə.pɑː.d̪iː.kə/,प्रपादीक,0
324926,140628,प्रपाक,n,n-----m--a,,,,/p.ɹə.pɑː.kə/,प्र-पाक,0
324927,140666,प्रपालक,n,n-----m--a,,,,/p.ɹə.pɑː.lə.kə/,प्र-पालक,0
324928,140667,प्रपालन,n,n-----n--a,,,,/p.ɹə.pɑː.lə.nə/,प्र-पालन,0
324929,140668,प्रपालिन्,n,n-----m--n,,,,/p.ɹə.pɑː.lin/,प्र-पालिन्,0
324931,140661,प्रपान,n,n-----n--a,,,,/p.ɹə.pɑː.nə/,प्र-पान,0
324932,140662,प्रपानक,n,n-----n--a,,,,/p.ɹə.pɑː.nə.kə/,प्र-पानक,0
324933,,प्रपापालिका,n,n-----f--ā,,,,/p.ɹə.pɑː.pɑː.li.kɑː/,प्र-पा॔-पालिका,0
324934,,प्रपापाली,n,n-----f--ī,,,,/p.ɹə.pɑː.pɑː.liː/,प्र-पा॔-पाली,0
324935,,प्रपापूरण,n,n-----n--a,,,,/p.ɹə.pɑː.puː.ɹə.ɳə/,प्र-पा॔-पूरण,0
324936,,प्रपापूरणीय,a,ap----a--a,,,,/p.ɹə.pɑː.puː.ɹə.ɳiː.jə/,प्र-पा॔-पूरणीय,0
324937,140899,प्रपात,n,n-----m--a,,,,/p.ɹə.pɑː.t̪ə/,प्र-पात,0
324938,140638,प्रपातम्,r,rp--------,,,,/p.ɹə.pɑː.t̪əm/,प्र-पातम्,0
324939,140637,प्रपातन,n,n-----n--a,,,,/p.ɹə.pɑː.t̪ə.nə/,प्र-पातन,0
324940,140641,प्रपाथ,n,n-----m--a,,,,/p.ɹə.pɑː.t̪ʰə/,प्र॔-पाथ,0
324941,140639,प्रपातिन्,n,n-----m--n,,,,/p.ɹə.pɑː.t̪in/,प्र-पातिन्,0
324942,,प्रपाताभिमुख,a,ap----a--a,,ap----f--ī=>ी,,/p.ɹə.pɑː.t̪ɑː.bʱi.mu.kʰə/,प्र-पाताभिमुख,0
324943,,प्रपाताम्बु,n,n-----n--u,,,,/p.ɹə.pɑː.t̪ɑːm.bu/,प्र-पाताम्बु,0
324944,,प्रपावन,n,n-----n--a,,,,/p.ɹə.pɑː.ʋə.nə/,प्र-पा॔-वन,0
324945,140665,प्रपायिन्,a,ap----a--n,,,,/p.ɹə.pɑː.jin/,प्र-पायिन्,0
324947,140659,प्रपाण,n,n-----n--a,,,,/p.ɹə.pɑː.ɳə/,प्र-पाण,0
324948,140670,प्रपाणि,n,n-----m--i,,,,/p.ɹə.pɑː.ɳi/,प्र-पाणि,0
324949,204560,प्रपाणिक,n,n-----m--a,,,,/p.ɹə.pɑː.ɳi.kə/,प्र-पाणिक,0
324950,140660,प्रपाणीय,a,ap----a--a,,,,/p.ɹə.pɑː.ɳiː.jə/,प्र-पाणीय,0
324951,140671,प्रपाण्डु,a,ap----a--u,,,,/p.ɹə.pɑːɳ.ɖu/,प्र-पाण्डु,0
324952,,प्रपाण्डुर,a,ap----a--a,,,,/p.ɹə.pɑːɳ.ɖu.ɹə/,प्र-पाण्डुर,0
324953,140631,प्रपाठ,n,n-----m--a,,,,/p.ɹə.pɑː.ʈʰə/,प्र-पाठ,0
324954,140632,प्रपाठक,n,n-----m--a,,,,/p.ɹə.pɑː.ʈʰə.kə/,प्र-पाठक,0
324955,140633,प्रपाठित,a,ap----a--a,,,,/p.ɹə.pɑː.ʈʰi.t̪ə/,प्र-पाठित,0
324956,140669,प्रपाटिका,n,n-----f--ā,,,,/p.ɹə.pɑː.ʈi.kɑː/,प्र-पाटिका,0
324957,,प्रपी,v,v----d--1- v----d--2- v----a--3- v----d--3-,,,,/p.ɹə.piː/,प्र-पी,0
324958,140690,प्रपीन,a,ap----a--a,,,,/p.ɹə.piː.nə/,प्र॔-पीन,0
324959,,प्रपीत,a,ap----a--a,,,,/p.ɹə.piː.t̪ə/,प्र॔-पीत,0
324960,140664,प्रपीति,n,n-----f--i,,,,/p.ɹə.piː.t̪i/,प्र-पीति,0
324961,,प्रपीड्,v,v----a--0-,,,,/p.ɹə.piːɖ/,प्र-पीड्,0
324962,140675,प्रपीडन,n,n-----n--a,,,,/p.ɹə.piː.ɖə.nə/,प्र-पीडन,0
324963,,प्रपीडित,a,ap----a--a,,,,/p.ɹə.piː.ɖi.t̪ə/,प्र-पीडित,0
324964,,प्रपूज्,v,v----a--0- v----d--0- v----a--1-,,,,/p.ɹə.puːd͡ʑ/,प्र-पूज्,0
324965,,प्रपूजित,a,ap----a--a,,,,/p.ɹə.puː.d͡ʑi.t̪ə/,प्र-पूजित,0
324966,,प्रपूरक,a,ap----a--a,,ap----f--ā=>िका,,/p.ɹə.puː.ɹə.kə/,प्र-पूरक,0
324967,140685,प्रपूरण,a,ap----a--a,,ap----f--ī=>ी,,/p.ɹə.puː.ɹə.ɳə/,प्र-पूरण,0
324968,,प्रपूरिका,n,n-----f--ā,,,,/p.ɹə.puː.ɹi.kɑː/,प्र-पूरिका,0
324969,,प्रपूरित,a,ap----a--a,,,,/p.ɹə.puː.ɹi.t̪ə/,प्र-पूरित,0
324970,,प्रपृ,v,v----a--5- v----d--6-,,,,/p.ɹə.pɹ̩/,प्र-पृ,0
324971,,प्रपृच्,v,v----a--7- v----d--7- v----a--2- v----a--1- v----a--3- v----d--3-,,,,/p.ɹə.pɹ̩t͡ɕ/,प्र-पृच्,0
324972,140683,प्रपृथक्,r,rp--------,,,,/p.ɹə.pɹ̩.t̪ʰək/,प्र-पृथ॔क्,0
324973,140684,प्रपृष्ठ,a,ap----a--a,,,,/p.ɹə.ˈpɹ̩ʂ.ʈʰə/,प्र-पृष्ठ,0
324974,,प्रपॄ,v,v----a--9- v----a--6- v----a--3- v----d--3-,,,,/p.ɹə.pɹ̩ː/,प्र-पॄ,0
324975,,प्ररद्,v,v----a--1- v----d--1-,,,,/p.ɹə.ɹəd̪/,प्र-रद्,0
324976,,प्ररक्ष्,v,v----a--1- v----d--1-,,,,/p.ɹə.ɹəkʂ/,प्र-रक्ष्,0
324977,154591,प्ररक्ष,a,ap----a--a,,,,/p.ɹə.ˈɹək.ʂə/,प्र-रक्ष,0
324978,154592,प्ररक्षण,n,n-----n--a,,,,/p.ɹə.ˈɹək.ʂə.ɳə/,प्र-रक्षण,0
324979,154593,प्ररक्षित,a,ap----a--a,,,,/p.ɹə.ˈɹək.ʂi.t̪ə/,प्र-रक्षित,0
