,229493,,,
89978,320358,110183,,,
89979,247649,110183,,,
89980,256999,110183,,,
89981,309692,110183,,,
89982,276419,109634,,,
89983,289124,112239,,,
89984,240919,230374,,,
89985,246901,110054,,,
89986,419284,111332,,,
89987,251593,111332,,,
89988,371469,145714,,,
89989,371469,113375,,,
89990,371472,191612,,,
89991,371472,195656,,,
89992,284447,111049,,,
89993,378693,111049,,,
89994,378693,111046,,,
89995,279063,111049,,,
89996,279063,226603,,,
89997,279063,111046,,,
89998,279063,158985,,,
89999,237413,111049,,,
90000,238506,109697,,,
90001,270677,109697,,,
90002,270677,215385,,,
90003,388621,215385,,,
90004,314395,215385,,,
90005,277664,215385,,,
90006,277664,166436,,,
90007,277664,229608,,,
90008,321202,215385,,,
90009,272484,109934,,,
90010,272484,130005,,,
90011,227378,109934,,,
90012,346513,109934,,,
90013,246056,109934,,,
90014,415283,109934,,,
90015,314394,109934,,,
90016,227334,109934,,,
90017,405922,109934,,,
90018,405922,109559,,,
90019,239647,109934,,,
90020,253232,109934,,,
90021,296664,109934,,,
90022,248167,109936,,,
90023,251705,230024,,,
90024,251262,110155,,,
90025,283996,111204,,,
90026,412547,195186,,,
90027,339822,227302,,,
90028,384745,110154,,,
90029,280014,110154,,,
90030,359044,157000,,,
90031,267359,113008,,,
90032,210128,113008,,,
90033,373817,113527,,,
90034,312426,156945,,,
90035,242989,231159,,,
90036,242989,113350,,,
90037,242989,124976,,,
90038,242989,106688,,,
90039,242989,128678,,,
90040,242989,113295,,,
90041,242989,164855,,,
90042,417950,113488,,,
90043,417950,113491,,,
90044,291015,113375,,,
90045,290660,113375,,,
90046,290660,145714,,,
90047,290710,113375,,,
90048,290782,113375,,,
90049,211073,113375,,,
90050,250352,113375,,,
90051,333584,113375,,,
90052,430585,113375,,,
90053,230458,113375,,,
90054,230458,166268,,,
90055,227775,111138,,,
90056,227753,111138,,,
90057,230829,111138,,,
90058,420982,111138,,,
90059,420875,234533,,,
90060,420875,140533,,,
90061,321119,111622,,,
90062,394541,109559,,,
90063,394541,116350,,,
90064,394494,109559,,,
90065,394547,109559,,,
90066,394547,225381,,,
90067,394546,196019,,,
90068,417879,109559,,,
90069,417874,109559,,,
90070,317891,109559,,,
90071,318198,109559,,,
90072,303822,109559,,,
90073,395256,109559,,,
90074,392671,200914,,,
90075,392671,200915,,,
90076,400736,109559,,,
90077,400736,111034,,,
90078,317928,109559,,,
90079,312661,109559,,,
90080,478234,109559,,,
90081,303592,109559,,,
90082,376117,233050,,,
90083,376117,111148,,,
90084,376116,111148,,,
90085,277843,112335,,,
90086,389540,111142,,,
90087,389541,229895,,,
90088,374492,128562,,,
90089,374492,111622,,,
90090,279489,145476,,,
90091,312653,145476,,,
90092,312653,123496,,,
90093,312653,142877,,,
90094,218325,108722,,,
90095,218325,150745,,,
90096,218325,234883,,,
90097,218326,194692,,,
90098,218326,191820,,,
90099,427620,108722,,,
90100,309192,162803,,,
90101,309192,162804,,,
90102,362427,231598,,,
90103,362427,135779,,,
90104,306827,162804,,,
90105,306827,140537,,,
90106,354817,127999,,,
90107,354817,162804,,,
90108,354817,140499,,,
90109,354817,104790,,,
90110,354817,227478,,,
90111,354817,160935,,,
90112,354817,160936,,,
90113,354817,140537,,,
90114,354817,160934,,,
90115,348898,142064,,,
90116,348898,104824,,,
90117,407218,162804,,,
90118,407218,103317,,,
90119,407218,141174,,,
90120,407213,231852,,,
90121,407213,227816,,,
90122,270135,140651,,,
90123,270135,162804,,,
90124,270135,214597,,,
90125,371592,142113,,,
90126,411419,140651,,,
90127,411419,141556,,,
90128,411419,162804,,,
90129,349380,141513,,,
90130,349380,105350,,,
90131,333035,162804,,,
90132,333035,140537,,,
90133,333035,127999,,,
90134,384643,232910,,,
90135,282748,228943,,,
90136,282748,228966,,,
90137,282749,228905,,,
90138,414929,174283,,,
90139,414929,173032,,,
90140,414929,174910,,,
90141,414929,175228,,,
90142,414929,175801,,,
90143,414929,175725,,,
90144,239002,194973,,,
90145,260544,194973,,,
90146,205044,151438,,,
90147,410415,151438,,,
90148,410415,147913,,,
90149,410415,122800,,,
90150,372438,151438,,,
90151,328216,150706,,,
90152,291872,151438,,,
90153,232212,114583,,,
90154,232206,112951,,,
90155,282436,151438,,,
90156,282436,106722,,,
90157,282436,225720,,,
90158,282436,140128,,,
90159,282436,150706,,,
90160,289030,128799,,,
90161,289030,162632,,,
90162,289030,158878,,,
90163,289030,116109,,,
90164,289030,106844,,,
90165,324413,150706,,,
90166,324413,151438,,,
90167,324413,149647,,,
90168,324413,149648,,,
90169,300983,233852,,,
90170,300983,192186,,,
90171,300983,192192,,,
90172,300983,190494,,,
90173,300983,190492,,,
90174,300985,112948,,,
90175,287941,151438,,,
90176,287941,150706,,,
90177,287941,151412,,,
90178,496092,150706,,,
90179,365150,150706,,,
90180,365150,151438,,,
90181,339016,150706,,,
90182,339016,151412,,,
90183,277785,227764,,,
90184,277785,182129,,,
90185,277785,191263,,,
90186,277789,227479,,,
90187,231310,150706,,,
90188,231310,151311,,,
90189,389795,150706,,,
90190,296558,150706,,,
90191,496093,156125,,,
90192,496093,150706,,,
90193,496093,151438,,,
90194,496093,145689,,,
90195,230280,147709,,,
90196,269483,151412,,,
90197,269483,232269,,,
90198,251456,151412,,,
90199,281049,151412,,,
90200,332326,151412,,,
90201,332326,151438,,,
90202,363137,151412,,,
90203,370159,151412,,,
90204,478236,171337,,,
90205,414618,129231,,,
90206,414616,188531,,,
90207,414616,189911,,,
90208,410741,148566,,,
90209,410741,151438,,,
90210,359970,147914,,,
90211,356035,134383,,,
90212,356035,141919,,,
90213,356035,136588,,,
90214,227524,150135,,,
90215,279342,146897,,,
90216,368076,187373,,,
90217,368076,192836,,,
90218,335765,183797,,,
90219,224790,187515,,,
90220,399856,151410,,,
90221,229026,148882,,,
90222,322396,148776,,,
90223,322396,150565,,,
90224,252661,225907,,,
90225,283813,213632,,,
90226,220024,227077,,,
90227,220024,168682,,,
90228,329774,234327,,,
90229,329774,150564,,,
90230,240657,199312,,,
90231,240657,190316,,,
90232,240656,148927,,,
90233,404718,150135,,,
90234,344235,150135,,,
90235,352948,173025,,,
90236,352948,176536,,,
90237,352948,177117,,,
90238,404711,150135,,,
90239,281092,150105,,,
90240,418156,150105,,,
90241,397290,148446,,,
90242,416605,148446,,,
90243,223450,231488,,,
90244,223450,144710,,,
90245,255108,148643,,,
90246,332040,230691,,,
90247,332040,229492,,,
90248,247194,148882,,,
90249,321587,230701,,,
90250,301775,230702,,,
90251,396231,150866,,,
90252,227597,224227,,,
90253,229997,230708,,,
90254,376158,149671,,,
90255,222051,226551,,,
90256,222051,150745,,,
90257,379179,148322,,,
90258,379179,147214,,,
90259,266963,149516,,,
90260,325516,149516,,,
90261,325516,154922,,,
90262,325513,169571,,,
90263,325513,170880,,,
90264,325513,170283,,,
90265,325513,176558,,,
90266,325513,175945,,,
90267,325513,180769,,,
90268,266912,149516,,,
90269,266912,150200,,,
90270,318523,148626,,,
90271,366879,148626,,,
90272,411218,147534,,,
90273,323767,187509,,,
90274,301644,230702,,,
90275,301644,156315,,,
90276,301644,156316,,,
90277,301646,230702,,,
90278,425529,149518,,,
90279,425533,148325,,,
90280,321569,216039,,,
90281,243723,148882,,,
90282,243723,147361,,,
90283,231169,149592,,,
90284,269148,147361,,,
90285,269148,148882,,,
90286,324879,230694,,,
90287,324879,146971,,,
90288,324879,145683,,,
90289,324879,227098,,,
90290,301655,232836,,,
90291,301655,230700,,,
90292,350391,213574,,,
90293,350220,192672,,,
90294,360078,192669,,,
90295,235532,149057,,,
90296,227572,149057,,,
90297,227572,148487,,,
90298,227572,107724,,,
90299,227572,165406,,,
90300,245507,212544,,,
90301,245507,230100,,,
90302,383161,148308,,,
90303,257670,147175,,,
90304,257670,163398,,,
90305,257670,140535,,,
90306,257670,229963,,,
90307,257670,124096,,,
90308,257670,122379,,,
90309,257670,163390,,,
90310,257671,140535,,,
90311,301650,149516,,,
90312,266964,148322,,,
90313,241947,140631,,,
90314,267326,229808,,,
90315,381839,109400,,,
90316,230749,232314,,,
90317,230749,109334,,,
90318,417482,168585,,,
90319,417482,234466,,,
90320,235470,168585,,,
90321,235470,168580,,,
90322,235470,165439,,,
90323,235470,165440,,,
90324,235470,130158,,,
90325,379101,127164,,,
90326,379101,169278,,,
90327,409552,127164,,,
90328,409552,168590,,,
90329,409552,168589,,,
90330,409552,230132,,,
90331,409552,168593,,,
90332,409552,189899,,,
90333,267216,168621,,,
90334,419739,127297,,,
90335,429473,147094,,,
90336,302078,151479,,,
90337,302078,147519,,,
90338,302078,149636,,,
90339,375026,190818,,,
90340,375026,185625,,,
90341,375026,185997,,,
90342,375026,195303,,,
90343,375026,187414,,,
90344,375026,189907,,,
90345,375026,185421,,,
90346,375026,189883,,,
90347,375026,190792,,,
90348,375023,228221,,,
90349,375024,158818,,,
90350,375024,230132,,,
90351,410727,231327,,,
90352,410727,151479,,,
90353,410727,231534,,,
90354,410727,232708,,,
90355,410727,230132,,,
90356,410727,108722,,,
90357,410727,151478,,,
90358,269567,190769,,,
90359,269567,190799,,,
90360,269567,196099,,,
90361,269567,187422,,,
90362,269567,189913,,,
90363,269568,161454,,,
