,+c,464661,226867
1380160,-c,227039,456715
1380161,+c,456714,235228
1380162,-c,235228,456714
1380163,+c,235603,235606
1380164,-c,235606,235603
1380165,+c,235603,235605
1380166,-c,235605,235603
1380167,+c,378440,235641
1380168,-c,235641,378440
1380169,+c,379673,235642
1380170,-c,235642,379673
1380171,+c,284630,235643
1380172,-c,235643,284630
1380173,+c,317972,235627
1380174,-c,235627,317972
1380175,+c,317972,235628
1380176,-c,235628,317972
1380177,+c,335814,235636
1380178,-c,235636,335814
1380179,+c,332183,235631
1380180,-c,235631,332183
1380181,+c,299549,235623
1380182,-c,235623,299549
1380183,+c,466602,235650
1380184,-c,235650,466602
1380185,+c,288863,235619
1380186,-c,235619,288863
1380187,+c,390190,235645
1380188,-c,235645,390190
1380189,+c,235659,235660
1380190,-c,235660,235659
1380191,+c,386002,235660
1380192,-c,235660,386002
1380193,+c,235659,235661
1380194,-c,235661,235659
1380195,+c,329194,234958
1380196,-c,234958,329194
1380197,+c,234962,234970
1380198,-c,234970,234962
1380199,+c,234962,234994
1380200,-c,234994,234962
1380201,+c,378440,234994
1380202,-c,234994,378440
1380203,+c,234962,234983
1380204,-c,234983,234962
1380205,+c,258562,234983
1380206,-c,234983,258562
1380207,+c,234962,234986
1380208,-c,234986,234962
1380209,+c,258562,234986
1380210,-c,234986,258562
1380211,+c,430970,234986
1380212,-c,234986,430970
1380213,+c,234962,234984
1380214,-c,234984,234962
1380215,+c,258562,234984
1380216,-c,234984,258562
1380217,+c,234962,234985
1380218,-c,234985,234962
1380219,+c,258562,234985
1380220,-c,234985,258562
1380221,+c,234962,234987
1380222,-c,234987,234962
1380223,+c,234962,234965
1380224,-c,234965,234962
1380225,+c,234745,234965
1380226,-c,234965,234745
1380227,+c,234962,234964
1380228,-c,234964,234962
1380229,+c,234745,234964
1380230,-c,234964,234745
1380231,+c,456958,234964
1380232,-c,234964,456958
1380233,+c,234962,234966
1380234,-c,234966,234962
1380235,+c,234745,234966
1380236,-c,234966,234745
1380237,+c,234962,234968
1380238,-c,234968,234962
1380239,+c,234745,234968
1380240,-c,234968,234745
1380241,+c,234962,234969
1380242,-c,234969,234962
1380243,+c,234745,234969
1380244,-c,234969,234745
1380245,+c,403670,234969
1380246,-c,234969,403670
1380247,+c,234962,234967
1380248,-c,234967,234962
1380249,+c,234745,234967
1380250,-c,234967,234745
1380251,+c,234962,234988
1380252,-c,234988,234962
1380253,+c,234962,234997
1380254,-c,234997,234962
1380255,+c,234962,234996
1380256,-c,234996,234962
1380257,+c,234962,234995
1380258,-c,234995,234962
1380259,+c,234962,234992
1380260,-c,234992,234962
1380261,+c,258562,234992
1380262,-c,234992,258562
1380263,+c,430970,234992
1380264,-c,234992,430970
1380265,+c,234962,234989
1380266,-c,234989,234962
1380267,+c,258562,234989
